"","Education","lng","lat"
"129","Bachelor's Degree",-118.332405,33.879147
"130","Bachelor's Degree",-117.6974178,34.0902828
"131","Bachelor's Degree",-117.23205,33.9196359
"132","Bachelor's Degree",-122.0116927,37.531638
"133","Bachelor's Degree",-117.061744,32.703485
"134","Bachelor's Degree",-118.1531839,33.7953349
"135","Bachelor's Degree",-118.150751,33.794303
"136","Bachelor's Degree",-118.132738,33.948288
"137","Bachelor's Degree",-118.26887,33.862147
"138","Bachelor's Degree",-118.3356062,33.9025217
"139","Bachelor's Degree",-118.355567,33.815047
"140","Bachelor's Degree",-117.737472,33.626607
"141","Bachelor's Degree",-121.3294805,37.9883016
"142","Bachelor's Degree",-118.175227,33.8221398
"143","Bachelor's Degree",-118.055097,33.910747
"144","Bachelor's Degree",-111.9860363,33.3786362
"145","Bachelor's Degree",-118.155794,33.872725
"146","Bachelor's Degree",-118.296685,33.8034899
"147","Bachelor's Degree",-118.262814,33.935482
"148","Bachelor's Degree",-118.314822,34.066302
"149","Bachelor's Degree",-118.114096,33.86654
"150","Bachelor's Degree",-118.1818782,34.0368132
"151","Bachelor's Degree",-117.666628,33.490003
"152","Bachelor's Degree",-117.488926,33.912763
"153","Bachelor's Degree",-118.007838,33.741408
"154","Bachelor's Degree",-118.076425,33.875326
"155","Bachelor's Degree",-117.909977,33.789483
"156","Bachelor's Degree",-122.405027,37.72656
"157","Bachelor's Degree",-118.0678789,34.0787584
"158","Bachelor's Degree",-117.994989,33.866936
"159","Bachelor's Degree",-118.148325,33.863311
"160","Bachelor's Degree",-118.455712,34.255118
"161","Bachelor's Degree",-118.1985984,33.9301219
"162","Bachelor's Degree",-118.159466,33.85111
"163","Bachelor's Degree",-118.190322,33.867545
"164","Bachelor's Degree",-118.3252244,33.8340726
"165","Bachelor's Degree",-118.3036417,33.8769512
"166","Bachelor's Degree",-122.2410011,38.0806684
"167","Bachelor's Degree",-118.4737227,34.2436014
"168","Bachelor's Degree",-117.905231,33.6612106
"169","Bachelor's Degree",-93.6630577,32.536392
"170","Bachelor's Degree",-118.148398,33.851509
"171","Bachelor's Degree",-118.1378462,33.8680421
"172","Bachelor's Degree",-118.284044,34.113335
"173","Bachelor's Degree",-118.3077091,33.7643007
"174","Bachelor's Degree",-118.3186713,33.8263113
"175","Bachelor's Degree",-118.2700311,33.8023928
"176","Bachelor's Degree",-118.1915493,33.8390511
"177","Bachelor's Degree",-118.1478699,33.7855642
"178","Bachelor's Degree",-118.1367275,33.9353402
"179","Bachelor's Degree",-118.1754461,33.7745056
"180","Bachelor's Degree",-118.172622,33.799143
"181","Bachelor's Degree",-117.7729401,33.6524139
"182","Bachelor's Degree",-118.1740495,33.7688543
"183","Bachelor's Degree",-118.172279,33.799409
"184","Bachelor's Degree",-117.936626,33.755182
"185","Bachelor's Degree",-117.904118,33.650878
"186","Bachelor's Degree",-118.1552718,33.7746108
"187","Bachelor's Degree",-118.087046,33.9078639
"188","Bachelor's Degree",-118.0219229,33.938868
"189","Bachelor's Degree",-118.0700943,33.7997257
"190","Bachelor's Degree",-117.301089,33.914859
"191","Bachelor's Degree",-118.253981,33.8892049
"192","Bachelor's Degree",-118.3406288,33.8358492
"193","Bachelor's Degree",-117.8128009,33.8846846
"194","Bachelor's Degree",-118.1915261,33.8156653
"195","Bachelor's Degree",-118.17124,33.869858
"196","Bachelor's Degree",-118.367301,33.838418
"197","Bachelor's Degree",-118.1717044,33.7775664
"198","Bachelor's Degree",-118.294537,33.8000898
"199","Bachelor's Degree",-118.326319,33.818787
