"","Education","lng","lat"
"128","High School Diploma or GED",-118.2749595,33.7979807
"129","High School Diploma or GED",-118.2512309,33.786256
"130","High School Diploma or GED",-118.273402,33.78754
"131","High School Diploma or GED",-118.1903203,33.9792113
"132","High School Diploma or GED",-118.061768,33.977308
"133","High School Diploma or GED",-117.0252079,32.5880496
"134","High School Diploma or GED",-118.120207,33.829108
"135","High School Diploma or GED",-118.090543,33.868239
"136","High School Diploma or GED",-118.107438,34.092509
"137","High School Diploma or GED",-117.967941,33.899063
"138","High School Diploma or GED",-118.1465334,33.8451809
"139","High School Diploma or GED",-118.2913514,33.7412944
"140","High School Diploma or GED",-117.4105352,33.9560384
"141","High School Diploma or GED",-118.2107211,34.1026847
"142","High School Diploma or GED",-113.2745111,53.5448057
"143","High School Diploma or GED",-118.2865392,33.8120173
"144","High School Diploma or GED",-118.277327,33.783952
"145","High School Diploma or GED",-118.031781,33.908006
"146","High School Diploma or GED",-118.0136797,33.8979157
"147","High School Diploma or GED",-117.4572899,33.9831849
"148","High School Diploma or GED",-118.075426,33.827314
"149","High School Diploma or GED",-118.287739,33.837308
"150","High School Diploma or GED",-117.271993,33.92458
"151","High School Diploma or GED",-118.2077792,33.9180477
"152","High School Diploma or GED",-118.174436,33.979293
"153","High School Diploma or GED",-118.2640516,34.0806314
"154","High School Diploma or GED",-118.249164,33.786766
"155","High School Diploma or GED",-118.269525,33.792138
"156","High School Diploma or GED",-118.306296,33.887099
"157","High School Diploma or GED",-118.25829,33.956262
"158","High School Diploma or GED",-118.147408,33.9647948
"159","High School Diploma or GED",-118.190021,33.83771
"160","High School Diploma or GED",-118.2964861,33.7404084
"161","High School Diploma or GED",-118.2701131,33.7824144
"162","High School Diploma or GED",-118.1818013,33.8008071
"163","High School Diploma or GED",-118.067927,33.841359
"164","High School Diploma or GED",-118.2769612,33.7944916
"165","High School Diploma or GED",-117.136591,33.578313
"166","High School Diploma or GED",-118.1805758,33.7792788
"167","High School Diploma or GED",-118.251257,33.937977
"168","High School Diploma or GED",-118.1349488,33.7965923
"169","High School Diploma or GED",-118.005747,33.916652
"170","High School Diploma or GED",-117.343884,33.928992
"171","High School Diploma or GED",-117.1655098,33.5994471
"172","High School Diploma or GED",-117.580256,33.898999
"173","High School Diploma or GED",-118.256974,33.79457
"174","High School Diploma or GED",-118.004032,33.808628
"175","High School Diploma or GED",-118.194497,33.806486
"176","High School Diploma or GED",-118.2038617,33.7910975
"177","High School Diploma or GED",-118.280495,33.789708
"178","High School Diploma or GED",-118.1600401,33.8551203
"179","High School Diploma or GED",-117.8150505,33.7528274
"180","High School Diploma or GED",-117.2104859,33.8672722
"181","High School Diploma or GED",-118.1463585,33.8568639
"182","High School Diploma or GED",-118.2779731,33.9193488
"183","High School Diploma or GED",-118.108341,33.803503
"184","High School Diploma or GED",-115.178143,36.0220579
"185","High School Diploma or GED",-118.1210269,33.8627515
"186","High School Diploma or GED",-118.2084718,33.8841495
"187","High School Diploma or GED",-118.285944,33.877901
"188","High School Diploma or GED",-118.3332134,33.9029661
"189","High School Diploma or GED",-118.2459175,33.7843025
"190","High School Diploma or GED",-117.166962,34.053139
"191","High School Diploma or GED",-118.0269038,33.9411899
"192","High School Diploma or GED",-117.669598,33.940494
"193","High School Diploma or GED",-117.284282,34.174786
"194","High School Diploma or GED",-118.270944,33.834923
"195","High School Diploma or GED",-117.993796,33.9087605
"196","High School Diploma or GED",-117.323069,33.883525
"197","High School Diploma or GED",-118.032892,33.853438
